k,wasserstein,mae
1,17.273733139038086,25.52052879333496
2,15.91197109222412,24.73613929748535
4,14.354830741882324,23.438636779785156
8,12.608416557312012,22.042308807373047
16,11.124241828918455,20.874685287475582
32,10.219229698181152,20.079986572265625
64,9.892814636230469,19.628015518188477
128,9.9327392578125,19.476842880249023
256,10.229509353637695,19.617277145385746
