temperature,mae,wasserstein
0.1,25.471105575561523,17.01161003112793
0.2,25.152774810791016,16.441734313964844
0.3,24.544153213500977,15.608502388000488
0.4,23.713014602661133,14.635004043579102
0.5,22.780120849609375,13.561572074890137
0.6,21.88543701171875,12.505722999572754
0.7,21.051443099975582,11.588937759399414
0.8,20.348005294799805,10.85935115814209
0.9,19.860746383666992,10.43857479095459
1.0,19.61686897277832,10.227664947509766
1.1,19.67559814453125,10.121413230895996
1.2,20.049619674682617,9.959942817687988
1.3,20.79181480407715,9.77638053894043
1.4,21.95222282409668,9.609862327575684
1.5,23.58246421813965,9.865242958068848
1.6,25.77582359313965,11.352286338806152
1.7,28.584802627563477,13.516624450683594
1.8,31.9536190032959,16.101591110229492
1.9,35.8737907409668,19.097091674804688
2.0,40.361907958984375,22.460039138793945
