size,wasserstein,mae
0.25,11.54167652130127,12.956094741821289
1.0,9.859825134277344,11.839037895202637
4.0,11.728142738342285,13.78448486328125
13.0,11.399169921875,12.86816120147705
52.0,12.122076988220215,13.728400230407715
