size,beta_1,beta_2,cosine_decay,div_factor,epsilon,final_div_factor,learning_rate,nesterov,pct_start,use_weight_decay,weight_decay
0.25,0.9723142778476331,0.9336779728754965,True,60.76974355710974,3.857356227397036e-07,5222.778891671969,0.007603788534088579,True,0.15783299932747377,False,
1,0.8653941584734043,0.9985022242369672,True,141.31844670058513,1.0430449620767138e-05,3399.993792776347,0.005203472417754998,False,0.33415959107375753,True,0.1415038107793611
4,0.7986009262348672,0.6548216474418923,True,385.74734461202917,1.6901606191746904e-09,598.817658224086,0.0035739985056501052,True,0.20618049860068582,True,0.3304112265046818
11,0.516982452002106,0.5004931817108439,True,594.5191305739138,6.951554413666266e-10,10.34021069613089,0.005291204603393744,True,0.23808594966812813,True,0.39988874668788643
50,0.6867282718257548,0.6800981052636746,True,170.23345706721668,3.1385974088951984e-08,5082.426803681739,0.007992188211354731,True,0.04157363429274592,True,0.22707269698862276
