size,beta_1,beta_2,cosine_decay,div_factor,epsilon,final_div_factor,learning_rate,nesterov,pct_start,use_weight_decay,weight_decay
0.25,0.7948021147267921,0.7641412587364285,True,44.7759149076531,0.00019976425949810755,2107.3363659340916,0.00735469146532456,False,0.22702000089775176,False,
1,0.7050172974776148,0.8761586851681356,True,21.951982893761027,6.7427700048490244e-09,43.557738384722704,0.001738794568239812,False,0.10130354040959487,True,0.030636767457407364
4,0.5399135161423068,0.8025954595076362,True,25.25390282802045,1.3544602750005786e-07,4179.1448770625075,0.00033976851136928183,False,0.39162455275716657,True,0.11214311177562208
13,0.574679579373514,0.8515298616715528,True,632.9088340587242,6.0778391091541774e-05,25.592809972867144,0.0011989797703652987,True,0.41776043150677544,False,
52,0.8386965569030617,0.8228873048753443,True,71.65833954856326,2.4662151671495498e-05,20.178739338612544,0.0007896344995046365,True,0.43669097482890856,True,0.00010416227810435606
