architecture,beta_1,beta_2,cosine_decay,epsilon,learning_rate,nesterov,use_weight_decay
vit,0.37488304922885674,0.07664018096675701,0.18228413802273977,0.008805290894850569,0.3316526389233692,0.009283684099869856,0.01645101786355684
mlp,0.14981043951523834,0.11312475104137099,0.3922924773368194,0.05553223191051313,0.193965123201903,0.043128485156532254,0.05214649183762295
cnn,0.23585742673252258,0.06921467296293292,0.10084406844530955,0.00037552057309347384,0.5840160920332166,0.004794803909019445,0.0048974153439054835
