architecture,beta_1,beta_2,cosine_decay,div_factor,epsilon,final_div_factor,learning_rate,nesterov,pct_start,use_weight_decay,weight_decay
vit,0.6429641124587311,0.7322364000188131,True,35.71170422750465,1.510108420994556e-07,765.2677409978688,0.003486785906770616,False,0.3200450942997735,True,0.06821088516034482
mlp,0.8909520170806647,0.8771433908784021,True,597.023453177405,1.2217241964318612e-06,1230.1884754608975,0.0057401924212197395,False,0.34213913951928665,True,0.012596901984830655
cnn,0.7647759211275149,0.8800759235223541,False,,0.00000006134212585910561,,0.001355325700954949,True,,False,
