steps,time,wasserstein,mae
5,147.1659698486328,9.680327415466309,18.681467056274414
10,285.7012939453125,6.689183235168457,18.37943458557129
25,703.349853515625,5.098604679107666,19.071001052856445
50,1399.401123046875,3.6590278148651123,19.605844497680664
100,2797.70556640625,2.748455762863159,19.918994903564453
250,7012.3232421875,2.314373731613159,20.218652725219727
500,13964.1513671875,2.142967700958252,20.33115577697754
1000,27877.4765625,2.097644090652466,20.353723526000977
